Strategy,CAGR_Gross,CAGR_Net,Vol_Net,Sharpe_Gross,Sharpe_Net,Sortino_Net,Max_Drawdown_Net,Calmar_Net,Annual_Turnover
VolTarget (Historical Volatility),0.1314139313931153,0.11741999509676382,0.23351174033367922,0.4466350017381877,0.3932840686303635,0.25713151205866214,-0.35840396055819146,0.32761913376707563,8.293014833199544
VolTarget (GARCH),0.1528301478578371,0.148528210995289,0.25701473809000863,0.5048484576233618,0.490245725416915,0.3379590211889595,-0.4138420311029885,0.3589007394909251,2.469925453172867
VolTarget (Random Forest),0.13370077087540855,0.11228292558016939,0.2536648167448852,0.4463059766115316,0.3710811806548108,0.21199599070985156,-0.41418105358697205,0.2710962382459428,12.717329575446186
VolTarget (XGBoost),0.15443214189711973,0.12483439597910295,0.24551370945964,0.5215223348880877,0.41566478357262904,0.27053313301409715,-0.389044982262754,0.3208739391857573,17.311983513574194
VolTarget (Hybrid GARCH+ML),0.12683731051303204,0.09804055411845058,0.25190431649224604,0.42412183711194024,0.32133497450398923,0.16279293554430543,-0.415627012990966,0.2358859050400114,17.271693580360154
Buy & Hold (Passive 100%),0.17957657273619998,0.17957657273619998,0.24895626145188277,0.6014840261715417,0.6014840261715417,0.46710470273182014,-0.38439852452742085,0.46716249225194406,0.0
