Model,Observations,MAE,RMSE,QLIKE,Relative_RMSE
Random Forest,997,0.05151287069989018,0.08497324365018817,0.47287348779750304,0.8389779586886753
XGBoost,997,0.050717178522455095,0.08594204453324628,0.48869016112306535,0.8485433530684635
Hybrid GARCH+ML,997,0.05265911201493623,0.08656549267199809,0.4766449595846091,0.8546989289218644
Historical Volatility,997,0.06036319428900846,0.10128185463060503,0.5651870280120014,1.0
GARCH,997,0.06320283424994844,0.10497154241666523,0.7800085240677505,1.0364298995068486
