,Historical Volatility,GARCH,Random Forest,XGBoost,Hybrid GARCH+ML
Historical Volatility,0.0,-0.3514174094758629,1.8435615301774617,1.6974461468668451,1.6363211799451176
GARCH,0.3514174094758629,0.0,2.850665928619489,3.0348259989197413,2.9620927979681517
Random Forest,-1.8435615301774617,-2.850665928619489,0.0,-0.9760949566485907,-1.543900284458586
XGBoost,-1.6974461468668451,-3.0348259989197413,0.9760949566485907,0.0,-1.724695592909658
Hybrid GARCH+ML,-1.6363211799451176,-2.9620927979681517,1.543900284458586,1.724695592909658,0.0
