Date,Actual,Predicted,Model
2019-12-20,0.09112867028261344,0.093888100323131,Historical Volatility
2019-12-20,0.09112867028261344,0.11378636016478799,GARCH
2019-12-20,0.09112867028261344,0.08751780962034716,Random Forest
2019-12-20,0.09112867028261344,0.08741569519042969,XGBoost
2019-12-20,0.09112867028261344,0.08955954760313034,Hybrid GARCH+ML
2019-12-23,0.10420400700210729,0.08306845370942906,Historical Volatility
2019-12-23,0.10420400700210729,0.11378636016478799,GARCH
2019-12-23,0.10420400700210729,0.08938189378044063,Random Forest
2019-12-23,0.10420400700210729,0.08668971061706543,XGBoost
2019-12-23,0.10420400700210729,0.09326270967721939,Hybrid GARCH+ML
2019-12-24,0.10071666761103464,0.08370441805633116,Historical Volatility
2019-12-24,0.10071666761103464,0.11378636016478799,GARCH
2019-12-24,0.10071666761103464,0.09478648004600052,Random Forest
2019-12-24,0.10071666761103464,0.09990689903497696,XGBoost
2019-12-24,0.10071666761103464,0.10370621085166931,Hybrid GARCH+ML
2019-12-26,0.10419705260870316,0.08646675014880115,Historical Volatility
2019-12-26,0.10419705260870316,0.11378636016478799,GARCH
2019-12-26,0.10419705260870316,0.10745047419709573,Random Forest
2019-12-26,0.10419705260870316,0.11773598194122314,XGBoost
2019-12-26,0.10419705260870316,0.12173927575349808,Hybrid GARCH+ML
2019-12-27,0.08406137360551384,0.0920874702226509,Historical Volatility
2019-12-27,0.08406137360551384,0.11378636016478799,GARCH
2019-12-27,0.08406137360551384,0.1017436707947247,Random Forest
2019-12-27,0.08406137360551384,0.10279875993728638,XGBoost
2019-12-27,0.08406137360551384,0.10200419276952744,Hybrid GARCH+ML
2019-12-30,0.16058599204711313,0.08678115657270422,Historical Volatility
2019-12-30,0.16058599204711313,0.11378636016478799,GARCH
2019-12-30,0.16058599204711313,0.10658962557829894,Random Forest
2019-12-30,0.16058599204711313,0.11240418255329132,XGBoost
2019-12-30,0.16058599204711313,0.1176469475030899,Hybrid GARCH+ML
2019-12-31,0.15638866972712104,0.09120544384310732,Historical Volatility
2019-12-31,0.15638866972712104,0.11378636016478799,GARCH
2019-12-31,0.15638866972712104,0.10895845875454296,Random Forest
2019-12-31,0.15638866972712104,0.11609631031751633,XGBoost
2019-12-31,0.15638866972712104,0.12357596307992935,Hybrid GARCH+ML
2020-01-01,0.15701974536470378,0.08929138572056479,Historical Volatility
2020-01-01,0.15701974536470378,0.11378636016478799,GARCH
2020-01-01,0.15701974536470378,0.10283880462094447,Random Forest
2020-01-01,0.15701974536470378,0.10263967514038086,XGBoost
2020-01-01,0.15701974536470378,0.10718542337417603,Hybrid GARCH+ML
2020-01-02,0.18375041106211773,0.0924035969215837,Historical Volatility
2020-01-02,0.18375041106211773,0.11378636016478799,GARCH
2020-01-02,0.18375041106211773,0.09803437646198447,Random Forest
