Model,Observations,MAE,RMSE,QLIKE,Relative_RMSE
Random Forest,997,0.05151287069989018,0.0849732436501882,0.47287348779750343,0.8389779586886755
XGBoost,997,0.050717178522455095,0.08594204453324628,0.48869016112306574,0.8485433530684633
Hybrid GARCH+ML,997,0.05265911201493623,0.0865654926719981,0.47664495958460934,0.8546989289218644
Historical Volatility,997,0.06036319428900846,0.10128185463060504,0.5651870280120018,1.0
GARCH,997,0.06320283424994844,0.10497154241666523,0.780008524067751,1.0364298995068486
