Model,Mean_Actual,Mean_Forecast,Mean_Bias,Underpredict_Pct,Overpredict_Pct,MZ_Alpha,MZ_Beta,MZ_R_Squared,MZ_Pval_Alpha,MZ_Pval_Beta
Historical Volatility,0.1464109515253467,0.16064542044972585,0.014234468924379157,41.223671013039116,58.77632898696088,0.06234646679022178,0.523292133070378,0.27584036263246614,8.85895635238918e-32,8.892542355904341e-72
GARCH,0.1464109515253467,0.15847315468194595,0.012062203156599255,32.4974924774323,67.5025075225677,0.07345321568993748,0.46037914738199476,0.081897742117362,6.057997380044725e-18,3.018771265774254e-20
Random Forest,0.1464109515253467,0.1423993834361159,-0.0040115680892307826,43.229689067201605,56.770310932798395,-0.03868881767159455,1.2998635579063595,0.3349801064420699,9.332423939406712e-06,3.160685740795753e-90
XGBoost,0.1464109515253467,0.1418257014398111,-0.0045852500855355915,44.53360080240722,55.46639919759278,-0.02424116345435079,1.2032523953503595,0.3107946330483461,0.004425566707600224,1.7146508687567567e-82
Hybrid GARCH+ML,0.1464109515253467,0.14783366548351443,0.0014227139581677317,38.81644934804413,61.18355065195586,-0.03311103269189226,1.2143511671044809,0.2992558871633696,0.0002996959460524753,6.756382114764011e-79
