Strategy,CAGR_Gross,CAGR_Net,Vol_Net,Sharpe_Gross,Sharpe_Net,Sortino_Net,Max_Drawdown_Net,Calmar_Net,Annual_Turnover
VolTarget (Historical Volatility),0.13141393139311552,0.11741999509676404,0.23351174033367927,0.4466350017381875,0.3932840686303634,0.257131512058663,-0.3584039605581911,0.3276191337670765,8.293014833199543
VolTarget (GARCH),0.15283014785783733,0.14852821099528946,0.25701473809000874,0.5048484576233618,0.4902457254169149,0.33795902118896093,-0.41384203110298884,0.35890073949092594,2.46992545317287
VolTarget (Random Forest),0.13370077087540833,0.11228292558017006,0.2536648167448853,0.44630597661153154,0.3710811806548109,0.2119959907098538,-0.41418105358697216,0.27109623824594437,12.717329575446186
VolTarget (XGBoost),0.15443214189712018,0.12483439597910295,0.24551370945964002,0.521522334888088,0.41566478357262915,0.27053313301409715,-0.38904498226275414,0.3208739391857572,17.311983513574194
VolTarget (Hybrid GARCH+ML),0.12683731051303204,0.09804055411845058,0.2519043164922461,0.4241218371119401,0.32133497450398957,0.1627929355443054,-0.415627012990966,0.2358859050400114,17.27169358036015
Buy & Hold (Passive 100%),0.17957657273619998,0.17957657273619998,0.24895626145188277,0.6014840261715417,0.6014840261715417,0.46710470273182014,-0.38439852452742085,0.46716249225194406,0.0
